second_fit_index,flux_idx,index,lon,lat,iflux,qflux,uflux,pflux,num_ps,chi2dof,true_q,fit_q,fit_q_err,true_u,fit_u,fit_u_err,fit_p,fit_p_err
44,1209,9758,1.4979243322528657,1.4547152924367677,1447.0,3.5331159271443924,-16.569836919399393,16.942325805217315,1.0,1.01948742251514,64.1089855186132,-6.70297023391516,86.95702219102489,-300.6624908484484,-273.87879516674167,88.41316094016305,273.9608078757668,88.41229642735956
45,1224,9732,2.5314823155872768,1.339846379726393,506.0,-11.209651244103014,-12.403909719631669,16.71864998578513,0.0,0.9842689577568974,-203.40101601413852,-170.37953070546914,79.73066324501023,-225.0710378565944,-187.4411970239889,79.754806547747,253.304928545028,79.74388439528268
47,1243,9885,1.7207429488107178,0.6851801334166481,481.0,13.812099551402566,9.010318263570689,16.491207634030033,0.0,1.0125228300674705,250.62288030786232,230.5175258459456,79.88557564024703,163.49374744242354,190.71325702163804,79.80659363464812,299.18201170180265,79.85349142327831
48,1261,9889,1.335294043090938,0.7458578269662859,422.0,7.847488569900151,14.204242993940884,16.227864797490525,0.0,1.0288872530525548,142.39400615757117,235.0027273279768,79.71050787811527,257.7383893365251,164.14990893099042,79.7097100711321,286.65567228582773,79.71024626676338
49,1269,9631,2.6020881680595265,0.8252615547148763,596.0,9.713971120320332,-12.829312365718277,16.092000829716277,0.0,0.9893170885816486,176.2616474303398,235.4417479968265,79.78837670402157,-232.79004075373072,-196.1563276260204,79.77660859981594,306.4475837195128,79.78355522989544
50,1272,9671,3.143862590478225,1.1539551951329248,738.0,-13.489231311594745,-8.720915165535704,16.06280556758933,1.0,1.0115512374308333,-244.7643815387632,-300.6249404933112,81.08140647814882,-158.24247932568153,-299.9070404628652,82.9009767093549,424.64053947521495,81.99406390731029
52,1292,9717,2.8870038421495186,1.3823406246807042,1123.0,15.484350248758204,-2.883813614146249,15.750602642037334,1.0,0.96274204253465,280.9661517857704,285.6678027334852,84.62032771015599,-52.32728533114045,-179.01416413493422,84.59955287836418,337.123366854786,84.61447042575844
56,1396,9812,1.5463968876297365,1.091390750397553,515.0,-7.049437989131178,13.04481817570666,14.827739450093285,0.0,0.9896749685348986,-127.91324351613972,-120.65521902296231,79.83528911437902,236.7004300918153,354.9119791791066,79.83179292023709,374.8602337436042,79.83215512782715
59,1432,9736,2.218151792691651,0.9316532574894936,296.0,3.6161872488511904,-13.920716940919704,14.382738625448312,0.0,0.9735536058079072,65.61632868824917,98.63972756114256,79.71240850353563,-252.5937611946527,-220.30449272496105,79.6695577345455,241.37909057774425,79.67671521754488
61,1471,9685,2.510537543905293,0.9905862429529736,448.0,3.108185081894881,-13.689769544615132,14.038183810165256,1.0,0.9687388894166844,56.39854352739017,20.76267019117816,91.15176647344003,-248.40318166356505,-351.2271536606163,84.19883055242946,351.8403074435984,84.22403920544706
63,1493,9672,2.4983744428966568,0.916095238157575,410.0,-6.263686381172811,12.368903991887835,13.86447088937146,1.0,0.967750427715222,-113.65564781461852,60.43138352015474,94.10879438189048,224.43585301146769,351.4606016872254,85.15992482302008,356.6181524439082,85.42997071372623
64,1501,9827,0.6029969505865655,1.1294729727812989,334.0,11.488411632765494,-7.588965867401601,13.768660239124504,0.0,0.989055748433214,208.45917037092752,225.502352491832,79.77476314139909,-137.70306803596026,-236.4194414934028,79.73204331244347,326.71924230966704,79.75239700141887
66,1507,9719,3.297318151504805,1.4319441796232,478.0,13.217671527944695,3.619316760575757,13.704243665158048,1.0,0.9752527144177084,239.8368833766721,278.2575875211365,84.00446997717245,65.67311420731158,-36.34369546044707,82.57562188768819,280.6210063641078,83.98070398136883
67,1534,9804,1.179428428423965,1.2161082636981762,381.0,-9.072375955442885,9.957235631375804,13.470506556757178,0.0,0.9640938777887604,-164.61979474785932,-144.2721439977031,79.77081444055074,180.67572308991,192.7616545042148,79.75323927364926,240.77272889780568,79.75955001683849
68,1548,9873,0.8872571967298988,0.8316787269888251,453.0,4.894548393806011,12.43917053081854,13.367481717739262,0.0,1.0158045877833188,88.8124076789845,63.16021817425273,79.78110540172864,225.71085123389864,269.0767379751646,79.82711367425307,276.39013021302804,79.82471174908773
70,1574,9808,1.2177427421858418,1.1934028502222271,651.0,8.607082806212677,-9.783098375315394,13.03038327349202,0.0,1.0041330413964946,156.17697193054553,123.66258449123028,79.81319681516472,-177.51597315324403,-231.38899785628905,79.75469332402646,262.3610167917261,79.76769453095655
